timestamp,rmssd,coverage,low_frequency,high_frequency
2023-04-18T00:00:00,42.836,0.995,275.683,327.208
2023-04-18T00:05:00,42.299,0.995,393.876,313.457
2023-04-18T00:10:00,37.066,1.004,944.99,251.833
2023-04-18T00:15:00,38.269,0.997,1509.18,342.125
2023-04-18T00:20:00,41.868,0.974,1115.714,463.558
2023-04-18T00:25:00,42.446,0.898,1048.031,313.691
2023-04-18T00:30:00,43.434,0.992,1118.258,408.046
2023-04-18T00:35:00,35.23,1.002,246.752,239.865
2023-04-18T00:40:00,40.407,0.987,174.609,293.866
2023-04-18T00:45:00,45.165,0.998,313.11,406.697
2023-04-18T00:50:00,47.105,0.993,2155.824,440.867
2023-04-18T00:55:00,49.568,1.004,497.502,358.245
2023-04-18T01:00:00,52.3,0.91,1433.438,912.255
2023-04-18T01:05:00,57.348,0.982,400.088,692.098
2023-04-18T01:10:00,64.197,0.954,1330.905,732.647
2023-04-18T01:15:00,53.649,1.0,438.78,522.588
2023-04-18T01:20:00,52.343,0.925,1620.992,523.43
2023-04-18T01:25:00,59.258,0.91,7669.13,629.836
2023-04-18T01:30:00,44.411,0.991,922.322,326.494
2023-04-18T01:35:00,37.965,0.91,589.61,295.918
2023-04-18T01:40:00,55.973,0.965,703.704,527.21
2023-04-18T01:45:00,52.724,0.888,2310.405,432.205
2023-04-18T01:50:00,54.974,1.004,270.282,545.341
2023-04-18T01:55:00,40.478,0.971,612.707,296.979
2023-04-18T02:00:00,40.632,0.978,1568.61,244.713
2023-04-18T02:05:00,44.95,1.004,432.624,326.646
2023-04-18T02:10:00,40.957,0.946,1615.658,244.032
2023-04-18T02:15:00,42.92,1.002,610.188,288.196
2023-04-18T02:20:00,41.954,0.957,171.605,268.426
2023-04-18T02:25:00,44.183,0.864,417.27,240.496
2023-04-18T02:30:00,46.158,0.881,941.364,349.44
2023-04-18T02:35:00,40.923,1.003,148.355,246.938
2023-04-18T02:40:00,42.433,0.992,124.424,298.829
2023-04-18T02:45:00,43.657,0.992,210.607,232.729
2023-04-18T02:50:00,38.987,0.997,535.528,224.619
2023-04-18T02:55:00,31.044,0.983,555.243,111.793
2023-04-18T03:00:00,45.86,0.839,796.062,360.628
2023-04-18T03:05:00,39.216,0.952,1920.75,239.86
2023-04-18T03:10:00,65.422,0.798,1698.114,581.146
2023-04-18T03:15:00,43.222,1.003,1695.355,300.467
2023-04-18T03:20:00,40.64,0.835,748.339,274.333
2023-04-18T03:25:00,50.027,1.004,1386.478,645.199
2023-04-18T03:30:00,45.766,0.74,1318.658,363.248
2023-04-18T03:35:00,49.024,0.782,1149.43,347.913
2023-04-18T03:40:00,44.849,0.898,601.94,344.974
2023-04-18T03:45:00,51.547,0.96,918.324,412.597
2023-04-18T03:50:00,45.247,0.943,632.367,353.804
2023-04-18T03:55:00,55.901,1.005,270.948,624.037
2023-04-18T04:00:00,54.093,0.996,280.015,558.648
2023-04-18T04:05:00,52.177,1.005,148.178,295.269
2023-04-18T04:10:00,48.361,0.997,535.85,332.845
2023-04-18T04:15:00,45.245,0.917,2401.52,434.962
2023-04-18T04:20:00,39.804,1.006,462.653,272.867
2023-04-18T04:25:00,36.622,0.988,741.515,219.857
2023-04-18T04:30:00,34.625,0.996,1303.82,250.714
2023-04-18T04:35:00,36.579,0.898,838.731,231.569
2023-04-18T04:40:00,41.037,1.003,593.506,368.381
2023-04-18T04:45:00,34.837,1.004,209.18,201.524
2023-04-18T04:50:00,35.293,1.003,338.086,192.739
2023-04-18T04:55:00,34.827,0.978,2091.235,209.639
2023-04-18T05:00:00,36.224,1.005,321.948,238.169
2023-04-18T05:05:00,35.55,1.002,321.34,186.877
2023-04-18T05:10:00,33.796,1.005,358.654,159.107
2023-04-18T05:15:00,32.873,1.004,382.769,209.734
2023-04-18T05:20:00,36.937,0.867,339.944,211.677
2023-04-18T05:25:00,33.947,0.988,1351.703,219.915
2023-04-18T05:30:00,29.483,0.957,620.389,110.833
2023-04-18T05:35:00,37.999,0.949,1351.785,230.401
2023-04-18T05:40:00,40.533,1.005,630.384,312.07
2023-04-18T05:45:00,36.583,0.988,840.583,230.285
2023-04-18T06:00:00,92.335,0.834,1059.654,1775.156
2023-04-18T06:15:00,67.231,0.843,438.371,833.24
2023-04-18T06:20:00,45.336,1.006,365.236,363.114
2023-04-18T06:25:00,44.939,1.003,988.262,380.996
2023-04-18T06:35:00,38.005,0.951,1435.15,870.005
2023-04-18T06:40:00,46.236,0.97,1123.736,366.495
2023-04-18T06:45:00,46.087,0.894,1051.559,715.952
2023-04-18T06:50:00,57.533,0.998,739.665,612.567
2023-04-18T06:55:00,64.889,0.996,478.865,800.806
2023-04-18T07:00:00,70.735,0.989,802.747,1008.587
2023-04-18T07:05:00,69.516,0.943,426.073,796.739
2023-04-18T07:10:00,68.875,0.989,146.855,634.32
2023-04-18T07:15:00,63.237,0.839,289.418,386.205
2023-04-18T07:20:00,60.157,0.918,1444.093,425.579
2023-04-18T07:25:00,76.473,0.859,2016.332,1192.855
2023-04-18T07:30:00,66.732,0.827,4955.135,772.255
2023-04-18T07:35:00,71.773,0.823,2294.264,705.004
2023-04-18T07:40:00,78.946,0.895,2329.995,1185.948
2023-04-18T07:45:00,74.536,0.852,2960.401,859.021
2023-04-18T07:50:00,70.324,0.816,2510.018,428.629
