timestamp,rmssd,coverage,low_frequency,high_frequency
2024-02-03T00:55:00,12.867,0.829,225.648,40.537
2024-02-03T01:00:00,15.307,0.948,401.064,74.416
2024-02-03T01:05:00,15.895,0.995,86.71,80.452
2024-02-03T01:10:00,18.511,0.993,215.179,98.84
2024-02-03T01:15:00,18.775,1.001,110.355,107.816
2024-02-03T01:20:00,18.431,0.96,360.561,84.963
2024-02-03T01:25:00,18.191,0.708,237.712,93.135
2024-02-03T01:30:00,20.411,0.949,427.909,128.644
2024-02-03T01:35:00,18.37,1.001,114.674,90.87
2024-02-03T01:40:00,18.491,0.959,187.783,81.304
2024-02-03T01:45:00,24.254,0.957,552.147,151.49
2024-02-03T01:50:00,26.908,0.965,550.362,234.805
2024-02-03T01:55:00,28.611,0.94,457.311,213.368
2024-02-03T02:00:00,25.703,0.946,406.335,218.792
2024-02-03T02:05:00,27.35,0.955,300.824,205.098
2024-02-03T02:10:00,28.484,0.982,1046.175,207.622
2024-02-03T02:25:00,19.319,0.843,401.011,61.373
2024-02-03T02:30:00,19.431,0.978,128.626,118.983
2024-02-03T02:35:00,20.982,0.978,228.0,135.783
2024-02-03T02:40:00,29.668,0.924,311.097,162.43
2024-02-03T02:45:00,38.143,0.969,632.687,341.731
2024-02-03T02:50:00,45.992,0.989,1906.853,588.207
2024-02-03T02:55:00,41.545,0.977,293.353,531.593
2024-02-03T03:00:00,43.278,0.973,238.383,531.992
2024-02-03T03:05:00,52.86,0.972,852.815,737.923
2024-02-03T03:10:00,50.816,0.883,1021.542,578.732
2024-02-03T03:15:00,47.546,1.001,1234.639,641.574
2024-02-03T03:20:00,32.344,1.004,488.899,308.315
2024-02-03T03:25:00,37.591,0.868,1532.896,766.055
2024-02-03T03:30:00,43.697,0.958,2371.223,403.262
2024-02-03T03:35:00,60.42,1.0,524.524,1017.813
2024-02-03T03:40:00,51.871,1.004,730.409,522.837
2024-02-03T03:45:00,50.665,1.002,779.251,626.306
2024-02-03T03:50:00,56.689,1.005,1617.114,679.461
2024-02-03T03:55:00,56.541,0.942,3155.364,723.658
2024-02-03T04:00:00,65.701,1.004,978.105,1612.233
2024-02-03T04:05:00,60.295,0.999,1959.901,1137.371
2024-02-03T04:10:00,68.531,0.958,934.594,1390.28
2024-02-03T04:15:00,65.063,0.959,1983.116,997.42
2024-02-03T04:20:00,62.034,0.978,1060.602,767.889
2024-02-03T04:25:00,67.513,0.991,1416.526,1170.555
2024-02-03T04:30:00,76.17,0.771,3824.147,1037.941
2024-02-03T06:05:00,9.166,1.002,12.744,14.798
2024-02-03T06:10:00,10.422,0.88,115.541,32.238
2024-02-03T06:15:00,16.25,0.807,15505.189,776.566
2024-02-03T06:20:00,12.317,0.978,72.614,50.057
2024-02-03T06:25:00,18.317,1.001,95.281,100.497
2024-02-03T06:30:00,18.36,1.001,94.453,74.272
2024-02-03T06:35:00,19.313,1.002,75.369,104.671
2024-02-03T06:40:00,23.068,1.003,94.882,145.439
2024-02-03T06:45:00,26.069,1.003,124.81,185.345
2024-02-03T06:50:00,24.774,1.002,183.203,169.27
2024-02-03T06:55:00,27.67,0.995,624.638,184.498
2024-02-03T07:00:00,25.448,1.004,215.063,157.417
2024-02-03T07:05:00,21.915,0.97,262.481,102.272
2024-02-03T07:10:00,36.869,0.96,358.326,387.966
2024-02-03T07:15:00,40.063,0.955,732.532,518.32
2024-02-03T07:20:00,39.392,0.949,358.117,483.302
2024-02-03T07:25:00,41.555,0.926,442.081,457.824
2024-02-03T07:30:00,38.181,1.003,244.169,345.301
2024-02-03T07:35:00,36.486,1.004,293.097,309.976
2024-02-03T07:40:00,46.001,0.928,535.784,534.84
2024-02-03T07:45:00,37.923,0.949,478.047,351.73
2024-02-03T07:50:00,49.915,1.002,1250.916,566.1
2024-02-03T07:55:00,33.499,0.973,1233.101,283.119
2024-02-03T08:00:00,36.792,0.877,724.845,433.835
2024-02-03T08:05:00,39.227,0.975,791.693,521.534
2024-02-03T08:10:00,51.433,0.929,718.498,607.935
2024-02-03T08:15:00,49.257,0.919,3667.624,577.877
2024-02-03T08:20:00,43.343,0.981,899.135,592.606
2024-02-03T08:25:00,34.624,1.001,493.581,357.723
2024-02-03T08:30:00,38.081,0.999,639.48,471.379
2024-02-03T08:35:00,36.584,1.004,507.57,483.522
2024-02-03T08:40:00,43.844,0.905,1273.364,387.767
2024-02-03T08:45:00,36.067,1.003,298.304,266.405
2024-02-03T08:50:00,37.927,0.929,506.635,287.716
2024-02-03T08:55:00,39.173,1.005,761.557,307.022
2024-02-03T09:00:00,39.438,1.003,1042.896,285.9
2024-02-03T09:05:00,43.582,1.004,665.195,416.559
2024-02-03T09:10:00,53.626,1.001,272.797,542.655
2024-02-03T09:30:00,37.768,0.726,551.734,271.931
2024-02-03T09:35:00,37.406,0.852,676.318,541.569
2024-02-03T09:45:00,39.013,0.845,1476.273,247.345
2024-02-03T09:50:00,29.106,0.826,1452.751,173.568
