timestamp,rmssd,coverage,low_frequency,high_frequency
2023-08-18T04:30:00,54.213,0.781,976.378,376.295
2023-08-18T04:35:00,55.998,0.974,1493.486,561.89
2023-08-18T04:40:00,50.688,0.987,1172.631,625.204
2023-08-18T04:45:00,61.144,0.896,2687.689,1109.079
2023-08-18T04:50:00,55.952,0.917,828.992,719.371
2023-08-18T04:55:00,49.005,1.004,221.327,457.927
2023-08-18T05:00:00,45.742,1.004,324.582,356.515
2023-08-18T05:05:00,54.834,0.953,406.233,624.058
2023-08-18T05:10:00,55.409,0.996,216.012,507.13
2023-08-18T05:15:00,54.143,0.996,160.88,506.512
2023-08-18T05:20:00,53.909,0.968,322.578,506.285
2023-08-18T05:25:00,45.599,0.984,284.04,283.044
2023-08-18T05:30:00,48.2,0.99,679.009,350.337
2023-08-18T05:35:00,49.254,0.958,291.326,481.671
2023-08-18T05:40:00,51.723,0.972,2068.24,622.349
2023-08-18T05:45:00,53.779,0.957,1475.716,482.479
2023-08-18T05:50:00,35.313,1.003,510.071,251.586
2023-08-18T05:55:00,47.47,0.924,672.023,526.046
2023-08-18T06:00:00,42.135,0.898,1078.658,570.544
2023-08-18T06:05:00,40.259,1.002,454.686,344.247
2023-08-18T06:10:00,36.471,1.004,198.348,258.942
2023-08-18T06:15:00,42.917,0.948,2230.156,345.178
2023-08-18T06:20:00,45.509,0.928,3105.116,700.888
2023-08-18T06:55:00,62.81,0.732,3152.833,894.768
2023-08-18T07:00:00,47.848,1.003,1418.364,338.74
2023-08-18T07:10:00,62.635,0.981,966.373,631.2
2023-08-18T07:15:00,67.106,0.934,2212.581,741.45
2023-08-18T07:20:00,64.302,0.98,729.67,901.757
2023-08-18T07:25:00,64.509,0.918,766.714,566.087
2023-08-18T07:30:00,57.141,0.923,1704.704,636.256
2023-08-18T07:35:00,61.156,0.843,1465.521,657.986
2023-08-18T07:40:00,55.222,0.989,561.781,635.547
2023-08-18T07:45:00,58.212,0.933,689.755,495.35
2023-08-18T07:50:00,63.192,1.006,587.664,633.656
2023-08-18T07:55:00,60.754,0.927,263.462,470.311
2023-08-18T08:00:00,75.013,0.981,781.152,884.179
2023-08-18T08:05:00,70.592,1.005,485.065,870.341
2023-08-18T08:10:00,60.262,1.001,328.033,546.867
2023-08-18T08:15:00,67.097,0.963,480.152,638.191
2023-08-18T08:20:00,62.984,1.004,342.778,598.014
2023-08-18T08:25:00,63.296,0.935,1414.957,625.439
2023-08-18T08:30:00,63.713,0.99,635.791,839.569
2023-08-18T08:35:00,61.097,1.005,1116.059,624.565
2023-08-18T08:40:00,61.895,0.931,1615.169,539.392
2023-08-18T08:45:00,69.471,0.918,1945.283,652.364
2023-08-18T08:50:00,65.176,0.826,3665.402,540.022
2023-08-18T08:55:00,61.53,0.932,438.27,589.605
2023-08-18T09:00:00,76.498,0.94,255.641,828.659
2023-08-18T09:05:00,69.485,0.819,593.911,568.025
