timestamp,rmssd,coverage,low_frequency,high_frequency
2023-03-22T00:00:00,58.463,1.001,285.915,686.118
2023-03-22T00:05:00,58.221,1.003,1116.804,678.073
2023-03-22T00:10:00,54.629,1.003,1429.6,676.669
2023-03-22T00:15:00,60.726,0.752,1943.198,649.57
2023-03-22T00:20:00,66.024,1.002,4719.9,1055.827
2023-03-22T00:25:00,49.299,0.996,1422.831,615.358
2023-03-22T00:30:00,31.324,0.996,540.939,235.194
2023-03-22T00:35:00,56.071,0.875,3461.143,852.644
2023-03-22T00:40:00,58.066,0.979,2394.949,933.5
2023-03-22T00:45:00,61.57,1.003,508.33,931.406
2023-03-22T00:50:00,54.174,0.96,414.454,510.063
2023-03-22T00:55:00,104.681,0.965,464.728,2466.793
2023-03-22T01:00:00,56.765,0.9,1360.079,483.483
2023-03-22T01:05:00,67.131,1.004,891.605,1031.16
2023-03-22T01:10:00,51.073,1.004,419.551,552.933
2023-03-22T01:15:00,52.006,0.88,1740.422,310.302
2023-03-22T01:20:00,40.058,1.004,2474.408,339.843
2023-03-22T01:25:00,47.781,0.813,706.979,463.366
2023-03-22T01:30:00,43.313,0.979,1713.022,378.294
2023-03-22T01:35:00,36.618,1.003,580.935,369.641
2023-03-22T01:40:00,32.394,0.926,1255.867,256.699
2023-03-22T01:45:00,44.528,0.924,2271.056,780.689
2023-03-22T01:50:00,39.27,1.005,992.386,440.591
2023-03-22T01:55:00,36.292,0.927,295.229,378.315
2023-03-22T02:00:00,32.411,1.003,420.162,220.162
2023-03-22T02:05:00,39.293,1.005,433.958,336.962
2023-03-22T02:10:00,37.663,1.002,419.463,380.419
2023-03-22T02:15:00,38.527,1.005,1075.132,407.428
2023-03-22T02:20:00,39.837,1.002,353.337,355.84
2023-03-22T02:25:00,42.909,1.004,895.451,549.821
2023-03-22T02:30:00,88.838,1.004,383.997,1225.251
2023-03-22T02:35:00,115.656,0.925,2315.574,2450.256
2023-03-22T02:40:00,121.866,0.937,1136.635,2432.351
2023-03-22T02:45:00,142.362,1.003,1476.439,3629.167
2023-03-22T02:50:00,139.937,0.998,1298.796,2700.449
2023-03-22T02:55:00,143.467,0.936,1233.25,3696.866
2023-03-22T03:00:00,121.268,1.007,810.895,1747.657
2023-03-22T03:05:00,123.088,0.954,1735.466,2564.568
2023-03-22T03:10:00,138.342,1.003,1816.246,3273.677
2023-03-22T03:15:00,141.639,1.004,697.383,3893.14
2023-03-22T03:20:00,146.617,0.988,613.661,3857.79
2023-03-22T03:25:00,157.865,0.912,4762.388,2515.555
2023-03-22T03:30:00,169.573,1.007,561.48,4924.677
2023-03-22T03:35:00,169.178,1.002,362.376,5233.825
2023-03-22T03:40:00,159.509,1.002,514.47,4755.393
2023-03-22T03:45:00,156.458,1.006,852.645,3591.034
2023-03-22T03:50:00,157.541,0.982,1798.729,3338.627
2023-03-22T03:55:00,134.632,0.982,1053.341,3025.176
2023-03-22T04:00:00,32.532,1.003,947.828,318.875
2023-03-22T04:05:00,66.512,0.919,2150.32,844.279
2023-03-22T04:10:00,39.345,0.902,1240.338,279.724
2023-03-22T04:15:00,149.981,0.945,3782.753,3681.423
2023-03-22T04:20:00,154.094,0.916,1960.768,4331.594
2023-03-22T04:25:00,135.585,0.943,1612.861,2431.475
2023-03-22T04:30:00,150.616,1.001,809.311,3604.743
2023-03-22T04:35:00,156.965,1.005,383.035,3843.048
2023-03-22T04:40:00,161.745,0.957,511.186,3975.101
2023-03-22T04:45:00,157.345,0.83,1221.885,4909.166
2023-03-22T04:50:00,152.752,1.003,331.445,4049.837
2023-03-22T04:55:00,131.575,0.985,881.868,2701.474
2023-03-22T05:00:00,97.807,1.002,739.503,1850.092
2023-03-22T05:05:00,119.884,1.005,1499.151,2469.024
2023-03-22T05:10:00,124.152,0.994,346.607,2501.94
2023-03-22T05:15:00,45.685,1.001,764.648,334.567
2023-03-22T05:20:00,68.052,0.781,1584.808,1091.14
2023-03-22T05:25:00,55.254,0.717,3024.311,917.205
2023-03-22T05:30:00,59.018,0.98,1779.569,511.258
2023-03-22T05:35:00,49.571,0.89,2083.111,445.019
2023-03-22T05:40:00,49.006,0.896,2361.177,346.351
2023-03-22T05:45:00,51.297,0.851,1073.207,375.252
