timestamp,rmssd,coverage,low_frequency,high_frequency
2023-03-23T06:20:00,55.478,0.702,2965.703,888.063
2023-03-23T06:25:00,35.499,0.927,764.092,323.001
2023-03-23T06:30:00,44.193,0.956,1628.27,511.972
2023-03-23T06:35:00,38.662,0.98,2027.36,461.386
2023-03-23T06:40:00,38.653,0.947,1015.21,323.864
2023-03-23T06:45:00,47.05,0.934,361.548,584.661
2023-03-23T06:50:00,53.138,0.965,855.334,667.824
2023-03-23T06:55:00,44.721,0.968,359.913,579.091
2023-03-23T07:00:00,51.52,0.993,386.89,658.087
2023-03-23T07:05:00,51.128,1.002,556.11,650.398
2023-03-23T07:10:00,57.432,1.002,687.681,754.755
2023-03-23T07:15:00,56.299,0.99,733.63,518.083
2023-03-23T07:20:00,60.745,1.002,561.717,816.997
2023-03-23T07:25:00,54.923,0.79,4201.407,647.129
2023-03-23T07:30:00,40.47,0.996,357.281,296.285
2023-03-23T07:35:00,35.372,0.889,3706.292,306.806
2023-03-23T07:40:00,39.023,0.982,1353.382,328.075
2023-03-23T07:45:00,43.165,0.991,1786.169,434.548
2023-03-23T07:50:00,50.39,0.909,1832.047,511.718
2023-03-23T07:55:00,33.504,0.946,2662.359,246.109
2023-03-23T08:00:00,37.428,0.957,628.17,280.901
2023-03-23T08:05:00,35.497,0.941,2421.172,289.311
2023-03-23T08:10:00,46.648,0.988,591.036,317.371
2023-03-23T08:15:00,50.241,0.819,713.558,362.146
2023-03-23T08:25:00,45.019,0.867,794.823,430.964
2023-03-23T08:30:00,39.937,0.959,582.985,414.958
2023-03-23T08:35:00,34.64,1.001,1968.776,183.204
2023-03-23T08:40:00,47.632,0.841,470.824,458.622
2023-03-23T08:45:00,42.466,0.961,372.168,367.433
2023-03-23T08:50:00,44.282,1.004,632.121,290.155
2023-03-23T08:55:00,43.705,1.003,219.399,332.012
2023-03-23T09:00:00,47.385,0.97,2028.213,390.932
2023-03-23T09:05:00,60.47,0.95,3323.353,440.461
2023-03-23T09:10:00,48.693,0.986,1938.014,504.052
2023-03-23T09:15:00,42.958,0.973,454.855,283.442
2023-03-23T09:20:00,46.262,1.005,291.215,283.045
2023-03-23T09:30:00,54.094,0.925,2976.282,524.386
2023-03-23T09:35:00,50.596,0.866,2099.44,538.128
2023-03-23T09:40:00,50.393,0.907,2907.932,581.094
2023-03-23T09:45:00,47.764,0.893,2709.38,434.766
2023-03-23T09:55:00,69.082,0.858,1785.062,647.116
2023-03-23T10:00:00,55.523,0.954,1693.852,806.891
2023-03-23T10:05:00,47.356,0.989,1231.192,595.008
2023-03-23T10:10:00,45.41,0.919,560.864,372.53
2023-03-23T10:15:00,45.115,0.896,1778.643,688.225
2023-03-23T23:25:00,33.085,0.884,749.528,236.011
2023-03-23T23:30:00,34.927,0.938,633.413,292.95
2023-03-23T23:35:00,51.994,1.005,314.632,614.83
2023-03-23T23:40:00,39.211,0.943,292.133,262.582
2023-03-23T23:45:00,40.1,1.004,224.457,350.847
2023-03-23T23:50:00,35.366,1.003,263.468,222.018
2023-03-23T23:55:00,32.755,1.003,248.264,211.461
