timestamp,rmssd,coverage,low_frequency,high_frequency
2024-01-01T00:00:00,33.648,0.919,1449.03,358.219
2024-01-01T00:05:00,34.49,0.956,1469.519,323.85
2024-01-01T00:10:00,26.933,1.003,109.006,211.699
2024-01-01T00:15:00,31.458,0.891,274.552,241.515
2024-01-01T00:20:00,29.903,1.006,604.072,278.127
2024-01-01T00:25:00,41.105,0.832,1876.619,335.111
2024-01-01T00:30:00,31.95,0.865,613.79,247.661
2024-01-01T00:35:00,31.072,0.819,1249.347,160.404
2024-01-01T00:40:00,32.585,0.929,1044.799,308.218
2024-01-01T00:45:00,23.099,1.001,564.851,161.823
2024-01-01T00:50:00,35.124,0.982,1571.898,292.464
2024-01-01T00:55:00,33.929,0.867,1809.623,233.74
2024-01-01T01:00:00,36.188,0.987,261.276,401.759
2024-01-01T01:05:00,31.784,0.944,1627.703,292.566
2024-01-01T01:10:00,40.033,0.963,2689.457,461.414
2024-01-01T01:35:00,42.695,0.768,1889.519,391.355
2024-01-01T01:40:00,32.228,0.935,510.951,302.394
2024-01-01T02:05:00,35.598,0.865,241.457,310.807
2024-01-01T02:10:00,44.232,0.914,886.363,689.52
2024-01-01T02:15:00,46.454,0.943,380.861,518.22
2024-01-01T02:20:00,38.593,1.005,500.486,442.973
2024-01-01T02:25:00,42.511,1.002,671.657,604.78
2024-01-01T02:30:00,39.413,0.961,675.13,510.235
2024-01-01T02:35:00,33.221,1.004,1356.102,308.612
2024-01-01T02:40:00,23.785,0.995,266.018,136.028
2024-01-01T02:45:00,17.785,0.974,444.088,71.181
2024-01-01T02:50:00,28.66,0.945,606.511,298.085
2024-01-01T02:55:00,26.532,0.953,451.543,160.45
2024-01-01T03:00:00,36.076,0.973,359.7,331.397
2024-01-01T03:05:00,25.048,0.89,1096.328,219.213
2024-01-01T03:10:00,35.034,0.969,776.341,380.693
2024-01-01T03:15:00,33.165,1.004,329.363,307.889
2024-01-01T03:20:00,31.671,0.904,262.912,190.755
2024-01-01T03:25:00,37.581,1.001,109.838,365.079
2024-01-01T03:30:00,41.622,0.999,470.471,533.298
2024-01-01T03:35:00,34.172,1.003,485.78,283.716
2024-01-01T03:40:00,37.555,0.932,750.726,318.135
2024-01-01T03:45:00,37.861,1.006,295.661,358.861
2024-01-01T03:50:00,33.092,1.003,294.497,229.19
2024-01-01T03:55:00,37.09,1.003,1008.95,302.246
2024-01-01T04:00:00,35.111,0.917,816.294,244.379
2024-01-01T04:05:00,33.853,1.0,247.242,200.2
2024-01-01T04:10:00,58.871,0.738,1223.474,539.616
2024-01-01T04:15:00,59.334,0.841,1008.304,357.024
2024-01-01T04:20:00,44.899,0.924,866.415,359.501
2024-01-01T04:25:00,35.767,0.918,361.649,191.874
2024-01-01T04:30:00,34.871,0.914,607.168,301.063
2024-01-01T04:35:00,28.333,0.986,789.892,136.594
2024-01-01T04:40:00,42.658,0.935,1076.582,388.616
2024-01-01T04:45:00,39.742,0.966,2114.957,372.212
2024-01-01T04:50:00,31.932,0.931,1025.319,186.587
2024-01-01T04:55:00,36.67,0.99,346.669,285.045
2024-01-01T05:00:00,41.996,1.005,449.78,327.979
2024-01-01T05:05:00,41.332,0.917,2555.877,408.539
2024-01-01T05:10:00,53.247,0.963,920.773,539.202
2024-01-01T05:15:00,63.585,0.974,398.447,1036.906
2024-01-01T05:20:00,52.949,0.955,794.821,594.878
2024-01-01T05:25:00,55.87,0.955,1377.113,535.996
2024-01-01T05:30:00,26.973,0.981,1432.885,158.743
2024-01-01T05:35:00,30.677,0.889,695.596,149.184
2024-01-01T05:40:00,45.77,0.983,1488.476,618.292
2024-01-01T05:45:00,35.253,0.976,792.403,208.688
2024-01-01T05:50:00,31.122,0.98,623.06,132.431
2024-01-01T05:55:00,25.358,0.944,828.724,101.026
2024-01-01T06:00:00,26.816,0.989,820.071,120.698
2024-01-01T06:05:00,35.06,0.925,1181.164,240.222
2024-01-01T06:10:00,30.123,0.973,499.588,157.482
2024-01-01T06:15:00,32.084,0.988,479.149,177.07
2024-01-01T06:20:00,28.954,0.983,247.887,122.077
2024-01-01T06:25:00,30.473,0.987,359.041,152.665
2024-01-01T06:30:00,33.22,1.005,291.33,191.722
2024-01-01T06:35:00,39.263,0.784,6212.022,952.925
2024-01-01T06:40:00,61.3,0.878,3117.485,799.864
2024-01-01T06:45:00,55.25,0.846,907.873,534.016
2024-01-01T06:50:00,53.792,0.93,1382.544,684.021
2024-01-01T06:55:00,54.883,0.9,1920.307,695.358
2024-01-01T07:00:00,58.112,0.752,1300.826,611.823
2024-01-01T07:05:00,57.799,0.985,2745.316,746.993
2024-01-01T07:10:00,48.865,0.735,957.285,364.834
2024-01-01T21:00:00,50.143,1.002,975.412,618.964
2024-01-01T21:05:00,44.392,0.989,1124.319,642.685
2024-01-01T21:10:00,40.187,1.002,192.537,442.202
2024-01-01T21:15:00,38.222,0.971,493.454,344.397
2024-01-01T21:20:00,41.488,0.964,2342.868,466.737
2024-01-01T21:25:00,39.308,0.968,1593.779,409.952
2024-01-01T21:30:00,42.547,1.003,720.496,431.571
2024-01-01T21:35:00,41.532,1.002,501.031,380.974
2024-01-01T21:40:00,38.519,1.002,280.865,387.734
2024-01-01T21:45:00,38.303,1.004,255.277,355.904
2024-01-01T21:50:00,52.849,0.795,2938.517,552.199
2024-01-01T21:55:00,54.787,0.978,2093.862,684.181
2024-01-01T22:00:00,49.58,0.787,1968.344,360.361
2024-01-01T22:05:00,54.829,0.818,2066.271,472.16
2024-01-01T22:10:00,43.709,0.908,2629.567,687.39
2024-01-01T22:15:00,43.384,0.989,661.459,381.812
2024-01-01T22:20:00,39.772,0.99,441.777,260.467
2024-01-01T22:25:00,50.228,0.927,2149.699,506.805
2024-01-01T22:30:00,42.753,0.938,2266.906,364.488
2024-01-01T22:35:00,34.32,0.989,728.826,195.823
2024-01-01T22:40:00,29.336,0.977,921.133,161.068
2024-01-01T22:45:00,29.991,1.005,683.604,157.211
2024-01-01T22:50:00,21.829,0.964,386.696,70.116
2024-01-01T22:55:00,26.93,0.993,543.322,111.356
2024-01-01T23:00:00,28.176,0.755,996.834,112.697
2024-01-01T23:10:00,34.821,0.727,1376.515,236.58
2024-01-01T23:20:00,44.504,0.8,617.288,300.074
2024-01-01T23:25:00,53.967,0.908,1089.034,671.955
2024-01-01T23:40:00,36.973,0.994,558.233,281.049
2024-01-01T23:45:00,36.572,0.994,531.143,286.299
2024-01-01T23:50:00,42.904,1.004,707.989,400.939
2024-01-01T23:55:00,46.555,0.921,920.065,403.898
