timestamp,rmssd,coverage,low_frequency,high_frequency
2023-07-07T01:55:00,69.139,1.001,1553.624,1266.372
2023-07-07T02:00:00,64.189,0.942,2588.207,1071.376
2023-07-07T02:05:00,53.546,0.977,782.34,781.803
2023-07-07T02:10:00,49.46,1.002,468.315,617.122
2023-07-07T02:15:00,50.628,1.004,743.94,625.36
2023-07-07T02:20:00,53.876,1.003,291.019,618.73
2023-07-07T02:25:00,48.241,1.002,807.074,569.297
2023-07-07T02:30:00,49.206,0.865,686.051,216.862
2023-07-07T02:35:00,61.954,1.003,2561.161,798.076
2023-07-07T02:40:00,63.971,1.002,2937.13,1131.986
2023-07-07T02:45:00,58.706,1.004,3033.55,875.654
2023-07-07T02:50:00,58.016,1.001,4277.077,615.109
2023-07-07T02:55:00,63.83,0.948,2055.801,844.427
2023-07-07T03:00:00,61.859,0.965,1225.721,893.596
2023-07-07T03:05:00,62.796,1.002,595.854,763.614
2023-07-07T03:10:00,59.489,1.006,777.201,689.618
2023-07-07T03:15:00,59.53,1.001,1060.734,746.142
2023-07-07T03:25:00,69.46,1.005,363.402,783.975
2023-07-07T03:30:00,74.371,1.003,810.409,1029.295
2023-07-07T03:35:00,72.474,0.929,3510.155,1146.244
2023-07-07T03:40:00,65.277,1.004,755.376,900.085
2023-07-07T03:45:00,68.973,1.002,840.617,1101.448
2023-07-07T03:50:00,63.91,0.806,4065.16,517.509
2023-07-07T03:55:00,52.991,1.004,1530.087,640.024
2023-07-07T04:00:00,33.543,0.943,877.648,193.609
2023-07-07T04:05:00,40.903,0.866,1315.726,196.364
2023-07-07T04:10:00,59.941,0.93,1314.041,624.291
2023-07-07T04:15:00,57.081,0.974,1507.47,628.363
2023-07-07T04:20:00,36.614,1.002,782.265,258.621
2023-07-07T04:25:00,56.115,0.984,2231.644,745.365
2023-07-07T04:30:00,50.477,0.878,1460.451,475.124
2023-07-07T04:35:00,49.675,1.004,1185.016,607.253
2023-07-07T04:40:00,55.125,1.004,635.904,629.898
2023-07-07T04:45:00,57.223,0.956,520.741,710.479
2023-07-07T04:50:00,54.192,0.987,448.0,629.056
2023-07-07T04:55:00,49.447,1.004,1124.284,557.252
2023-07-07T05:00:00,55.961,0.949,593.792,577.733
2023-07-07T05:05:00,57.336,1.004,585.313,725.759
2023-07-07T05:10:00,57.563,1.004,683.584,560.191
2023-07-07T05:15:00,58.964,1.001,302.206,609.741
2023-07-07T05:20:00,60.829,1.007,562.402,750.591
2023-07-07T05:25:00,53.935,0.997,357.05,526.056
2023-07-07T05:30:00,55.913,1.003,538.502,578.125
2023-07-07T05:35:00,57.937,0.996,811.856,574.388
2023-07-07T05:40:00,48.248,0.983,7055.158,462.687
2023-07-07T05:45:00,40.753,0.995,838.106,205.829
2023-07-07T05:50:00,30.963,0.933,1139.083,197.397
2023-07-07T05:55:00,38.168,0.911,604.844,217.817
2023-07-07T06:00:00,45.749,0.966,884.111,337.251
2023-07-07T06:05:00,35.492,0.996,341.983,193.89
2023-07-07T06:10:00,34.326,0.964,1675.817,177.362
2023-07-07T06:15:00,52.736,0.972,928.834,423.882
2023-07-07T06:20:00,49.971,1.006,594.257,425.269
2023-07-07T06:25:00,40.891,0.939,1104.204,324.373
2023-07-07T06:30:00,50.389,1.004,1851.08,560.597
2023-07-07T06:35:00,54.981,0.914,1734.571,413.751
2023-07-07T06:40:00,38.277,1.006,568.842,225.774
2023-07-07T06:45:00,24.223,1.004,372.204,78.299
2023-07-07T06:50:00,33.327,0.973,1052.029,168.436
