timestamp,rmssd,coverage,low_frequency,high_frequency
2023-12-23T04:30:00,39.121,0.837,1162.626,229.87
2023-12-23T04:35:00,43.357,0.968,1166.267,385.201
2023-12-23T04:40:00,43.702,1.002,1110.833,416.868
2023-12-23T04:45:00,44.02,0.929,1027.166,476.027
2023-12-23T04:50:00,47.074,1.001,1023.613,348.901
2023-12-23T04:55:00,43.419,0.992,3175.226,633.549
2023-12-23T05:00:00,48.242,1.002,1396.118,478.411
2023-12-23T05:05:00,50.302,0.923,851.589,553.16
2023-12-23T05:10:00,50.916,1.005,912.117,538.051
2023-12-23T05:15:00,67.224,1.004,384.312,944.01
2023-12-23T05:20:00,54.041,1.003,1146.369,610.826
2023-12-23T05:25:00,59.551,0.999,654.097,984.632
2023-12-23T05:30:00,50.676,0.994,1969.206,540.179
2023-12-23T05:35:00,71.111,1.005,1236.708,753.962
2023-12-23T05:40:00,52.444,0.961,1789.248,554.974
2023-12-23T05:45:00,51.726,0.98,1212.931,720.855
2023-12-23T05:50:00,39.677,0.971,1512.606,334.99
2023-12-23T05:55:00,44.004,0.988,2642.284,588.642
2023-12-23T06:00:00,36.112,0.889,975.372,180.393
2023-12-23T06:05:00,51.367,0.988,2238.831,620.286
2023-12-23T06:35:00,50.093,0.761,2934.109,351.623
2023-12-23T06:45:00,38.607,0.905,340.0,351.001
2023-12-23T07:15:00,49.226,0.786,3078.95,1060.684
2023-12-23T07:20:00,39.83,0.881,422.917,283.887
2023-12-23T07:25:00,43.117,0.929,1178.846,458.17
2023-12-23T07:30:00,47.735,0.808,1242.098,657.342
2023-12-23T07:35:00,416.226,0.885,16595.065,28996.089
2023-12-23T07:40:00,40.974,0.907,544.383,239.992
2023-12-23T07:45:00,35.038,0.971,164.396,217.933
2023-12-23T07:50:00,36.407,0.972,260.276,277.623
2023-12-23T07:55:00,37.342,0.974,376.086,284.117
2023-12-23T08:00:00,38.674,0.977,886.327,481.407
2023-12-23T08:05:00,38.479,0.841,3152.81,397.958
2023-12-23T08:10:00,30.791,1.002,372.878,248.085
2023-12-23T08:15:00,37.347,0.879,984.821,355.406
2023-12-23T08:20:00,57.905,0.991,1069.717,1002.298
2023-12-23T08:25:00,45.964,0.96,1743.801,677.48
2023-12-23T08:30:00,37.178,1.005,343.022,311.353
2023-12-23T08:35:00,32.358,0.855,1310.925,189.746
2023-12-23T08:40:00,51.706,0.954,1105.99,418.099
2023-12-23T08:45:00,52.299,0.918,1409.231,323.243
2023-12-23T08:50:00,62.53,1.005,823.036,1016.174
2023-12-23T08:55:00,48.74,0.95,1301.552,711.446
2023-12-23T09:00:00,73.701,1.003,616.967,1147.861
2023-12-23T09:05:00,55.656,0.997,335.172,774.294
2023-12-23T09:10:00,60.508,0.982,1421.912,761.264
2023-12-23T09:15:00,67.829,0.99,1506.892,1409.745
2023-12-23T09:20:00,61.724,0.707,1575.952,874.319
