timestamp,rmssd,coverage,low_frequency,high_frequency
2023-04-27T00:00:00,54.236,0.975,545.521,734.639
2023-04-27T00:05:00,51.909,1.005,261.431,597.685
2023-04-27T00:10:00,57.252,1.003,169.159,744.87
2023-04-27T00:15:00,60.775,0.98,1523.118,740.751
2023-04-27T00:20:00,56.725,1.004,381.706,712.33
2023-04-27T00:25:00,57.359,1.002,392.046,679.347
2023-04-27T00:30:00,58.19,0.97,1039.924,658.475
2023-04-27T00:35:00,54.86,0.926,3906.019,633.43
2023-04-27T00:40:00,55.004,1.004,1254.483,792.794
2023-04-27T00:45:00,53.168,1.003,1933.163,646.616
2023-04-27T00:50:00,64.612,1.003,1263.977,1039.841
2023-04-27T00:55:00,60.926,1.003,364.395,855.823
2023-04-27T01:00:00,60.474,0.929,2007.561,815.702
2023-04-27T01:05:00,59.402,0.962,1920.544,963.313
2023-04-27T01:10:00,57.459,1.001,311.272,848.478
2023-04-27T01:15:00,57.32,1.006,271.992,657.749
2023-04-27T01:20:00,54.249,0.996,246.66,676.585
2023-04-27T01:25:00,53.481,1.002,219.57,591.752
2023-04-27T01:30:00,52.986,1.003,1090.586,560.999
2023-04-27T01:35:00,52.704,0.949,330.195,475.48
2023-04-27T01:40:00,53.204,0.971,1548.369,733.147
2023-04-27T01:45:00,36.92,1.005,1055.682,230.487
2023-04-27T01:50:00,50.476,0.962,2792.618,605.85
2023-04-27T01:55:00,43.6,1.004,1553.141,535.975
2023-04-27T02:00:00,49.442,0.97,1092.524,569.72
2023-04-27T02:05:00,57.566,0.958,1988.0,858.772
2023-04-27T02:10:00,61.613,1.003,829.938,930.923
2023-04-27T02:15:00,68.088,0.904,772.876,709.405
2023-04-27T02:20:00,79.835,0.985,398.406,1035.519
2023-04-27T02:25:00,66.354,0.858,2489.78,926.126
2023-04-27T03:05:00,60.343,1.005,2533.033,958.509
2023-04-27T03:10:00,55.076,0.99,2081.846,618.92
2023-04-27T03:15:00,41.239,0.976,666.717,487.261
2023-04-27T03:20:00,45.019,0.997,469.499,473.746
2023-04-27T03:25:00,42.082,0.9,1312.868,266.571
2023-04-27T03:30:00,37.789,0.995,795.249,280.055
2023-04-27T03:35:00,43.639,0.972,1145.035,446.061
2023-04-27T03:40:00,39.046,0.919,1359.836,621.393
2023-04-27T03:45:00,43.771,0.941,582.235,405.085
2023-04-27T03:50:00,65.184,0.991,480.389,970.03
2023-04-27T03:55:00,63.149,1.0,800.667,832.982
2023-04-27T04:00:00,66.242,1.006,399.138,986.903
2023-04-27T04:05:00,63.75,1.001,1044.88,1041.093
2023-04-27T04:10:00,60.11,0.998,1514.701,831.456
2023-04-27T04:15:00,62.87,0.955,1714.701,867.797
2023-04-27T04:20:00,56.32,1.005,647.515,721.357
2023-04-27T04:25:00,57.716,1.001,367.401,710.651
2023-04-27T04:30:00,58.022,0.951,661.097,631.056
2023-04-27T04:35:00,49.611,1.004,783.591,523.258
2023-04-27T04:40:00,56.171,1.001,782.21,689.51
2023-04-27T04:45:00,49.938,0.953,1902.616,551.986
2023-04-27T04:50:00,34.142,0.999,1232.106,317.737
2023-04-27T04:55:00,51.459,0.914,2327.065,615.539
2023-04-27T05:00:00,63.469,1.002,956.888,888.176
2023-04-27T05:05:00,61.227,0.88,582.618,458.492
2023-04-27T05:10:00,61.767,1.0,1767.569,1012.351
2023-04-27T05:15:00,60.511,1.004,505.881,807.26
2023-04-27T05:20:00,58.975,0.996,405.176,658.567
2023-04-27T05:25:00,74.752,1.004,1717.257,1009.796
2023-04-27T05:30:00,64.409,0.828,1654.775,474.25
2023-04-27T05:35:00,75.996,0.976,2710.987,1149.844
2023-04-27T05:40:00,43.632,0.999,863.376,308.419
2023-04-27T05:45:00,35.754,0.911,1030.54,176.038
2023-04-27T05:50:00,43.514,0.971,642.668,519.977
2023-04-27T05:55:00,64.891,0.924,1518.188,912.893
2023-04-27T06:00:00,65.17,0.956,2085.097,908.348
2023-04-27T06:05:00,70.825,1.005,417.079,1289.644
2023-04-27T06:10:00,73.841,0.974,484.059,1109.003
2023-04-27T06:15:00,67.131,0.995,1121.176,997.349
2023-04-27T06:20:00,63.518,0.996,1101.149,791.795
2023-04-27T06:25:00,64.856,1.006,437.828,819.118
2023-04-27T06:30:00,56.058,0.95,1546.73,698.538
2023-04-27T06:35:00,56.736,0.9,5512.857,697.978
2023-04-27T06:40:00,62.361,0.891,4135.431,1012.816
2023-04-27T06:45:00,93.223,0.956,1600.208,1683.544
2023-04-27T06:50:00,50.467,0.935,2765.355,882.258
2023-04-27T06:55:00,50.783,0.968,1976.597,433.013
2023-04-27T07:00:00,46.737,0.825,2542.016,417.269
2023-04-27T22:50:00,51.439,0.982,1227.098,590.204
2023-04-27T22:55:00,40.459,0.986,416.404,451.565
2023-04-27T23:00:00,40.833,1.003,447.373,489.461
2023-04-27T23:05:00,38.97,1.001,281.281,334.283
2023-04-27T23:10:00,42.919,0.99,381.82,369.19
2023-04-27T23:15:00,40.786,0.969,462.509,343.838
2023-04-27T23:20:00,41.792,1.003,326.598,432.262
2023-04-27T23:25:00,40.267,1.005,506.477,368.995
2023-04-27T23:30:00,43.452,1.002,457.48,464.6
2023-04-27T23:35:00,46.238,1.006,528.588,577.403
2023-04-27T23:40:00,48.276,0.999,395.52,583.847
2023-04-27T23:45:00,45.705,1.003,685.746,475.836
2023-04-27T23:50:00,42.395,1.004,1059.785,360.601
2023-04-27T23:55:00,45.259,1.003,1082.923,471.201
