timestamp,rmssd,coverage,low_frequency,high_frequency
2023-07-09T03:15:00,39.67,0.875,1004.436,258.702
2023-07-09T03:20:00,31.543,0.98,1618.574,168.102
2023-07-09T03:25:00,35.769,0.935,809.557,236.484
2023-07-09T03:30:00,40.951,0.985,228.895,311.936
2023-07-09T03:35:00,43.701,1.001,130.288,298.535
2023-07-09T03:40:00,46.376,0.968,307.419,376.032
2023-07-09T03:45:00,48.109,0.98,977.371,422.068
2023-07-09T03:50:00,49.405,0.945,357.912,395.839
2023-07-09T03:55:00,44.121,1.0,118.003,297.302
2023-07-09T04:00:00,42.747,1.001,129.412,275.135
2023-07-09T04:05:00,45.955,0.997,175.277,322.462
2023-07-09T04:10:00,45.474,1.005,133.168,335.761
2023-07-09T04:15:00,45.589,1.004,430.625,384.54
2023-07-09T04:20:00,41.781,0.995,627.159,291.643
2023-07-09T04:25:00,37.706,0.989,772.736,218.862
2023-07-09T04:30:00,48.662,1.005,569.753,470.367
2023-07-09T04:35:00,56.309,0.904,3275.514,916.418
2023-07-09T04:40:00,46.014,0.998,96.069,415.606
2023-07-09T04:45:00,45.321,0.992,257.399,328.147
2023-07-09T04:50:00,52.974,0.979,714.89,511.096
2023-07-09T04:55:00,49.6,1.004,433.276,388.214
2023-07-09T05:00:00,54.288,0.952,1817.323,351.708
2023-07-09T05:05:00,50.253,0.964,1052.802,359.62
2023-07-09T05:10:00,32.875,0.933,4064.224,387.599
2023-07-09T05:15:00,49.241,0.959,1798.359,372.176
2023-07-09T05:20:00,45.278,0.945,1189.071,279.891
2023-07-09T05:25:00,56.647,0.988,1392.281,661.46
2023-07-09T05:30:00,52.695,0.958,1251.811,329.644
2023-07-09T05:35:00,77.87,0.932,3101.553,1006.167
2023-07-09T05:40:00,78.522,0.976,459.292,958.471
2023-07-09T05:45:00,56.253,1.001,531.624,488.795
2023-07-09T05:50:00,70.528,1.005,331.341,864.244
2023-07-09T05:55:00,60.419,0.983,167.07,430.535
2023-07-09T06:00:00,60.784,1.003,279.77,344.655
2023-07-09T06:05:00,45.346,1.003,306.048,301.164
2023-07-09T06:10:00,62.721,1.003,1140.902,986.184
2023-07-09T06:15:00,57.542,0.85,2959.614,425.647
2023-07-09T06:20:00,57.739,0.997,386.281,442.639
2023-07-09T06:25:00,64.283,0.988,284.818,356.169
2023-07-09T06:30:00,52.228,0.944,1213.771,354.187
2023-07-09T06:35:00,49.981,0.943,679.516,330.641
2023-07-09T06:40:00,40.785,0.839,893.189,92.895
2023-07-09T06:45:00,86.246,0.996,1529.199,1575.463
2023-07-09T06:50:00,94.78,0.965,2847.427,1872.946
2023-07-09T06:55:00,73.469,1.002,1001.035,1092.414
2023-07-09T07:00:00,59.336,0.923,2315.355,771.596
2023-07-09T07:05:00,67.563,1.004,650.275,710.071
2023-07-09T07:40:00,70.483,0.759,2193.162,870.714
2023-07-09T07:45:00,51.381,1.005,411.118,354.746
2023-07-09T07:50:00,60.24,0.99,928.135,720.991
2023-07-09T07:55:00,55.737,0.961,1086.066,814.54
2023-07-09T08:00:00,50.006,0.765,3575.722,1213.634
2023-07-09T08:05:00,49.473,0.955,3916.472,436.268
2023-07-09T08:10:00,57.071,0.753,766.889,896.993
2023-07-09T08:25:00,59.07,1.004,274.851,627.441
2023-07-09T08:30:00,61.037,1.004,584.196,564.21
2023-07-09T08:35:00,53.344,0.987,1165.524,501.868
2023-07-09T08:40:00,58.195,0.986,3664.339,482.596
2023-07-09T08:45:00,59.538,0.998,1533.093,555.166
2023-07-09T08:55:00,52.692,1.001,1571.795,703.702
2023-07-09T09:00:00,50.589,0.969,1018.106,696.22
2023-07-09T09:05:00,60.476,0.988,1758.943,962.47
2023-07-09T09:10:00,52.847,1.005,984.278,785.609
2023-07-09T09:15:00,51.425,0.99,1020.653,607.69
2023-07-09T09:20:00,65.845,0.92,5366.263,906.166
2023-07-09T09:25:00,64.409,0.977,4273.352,813.1
2023-07-09T10:05:00,68.321,0.96,1370.472,1020.219
2023-07-09T10:10:00,58.245,0.988,1382.353,417.757
2023-07-09T10:15:00,65.441,1.004,2107.02,635.82
2023-07-09T10:20:00,73.179,0.957,4021.876,1242.064
2023-07-09T10:25:00,82.54,0.96,2000.875,1202.49
2023-07-09T10:30:00,60.028,0.805,1446.986,560.556
2023-07-09T10:35:00,51.605,0.942,1464.059,632.524
2023-07-09T10:40:00,69.204,0.797,3665.528,664.164
2023-07-09T10:45:00,62.721,0.745,382.591,421.808
2023-07-09T10:55:00,74.258,0.83,1891.46,681.619
2023-07-09T11:00:00,70.42,0.926,1651.545,768.445
2023-07-09T11:05:00,83.319,0.865,2152.808,1369.691
2023-07-09T11:10:00,66.202,0.893,878.832,854.242
2023-07-09T11:15:00,68.895,0.856,2218.843,1189.573
2023-07-09T11:30:00,70.073,0.988,447.703,835.946
2023-07-09T11:35:00,66.231,0.98,433.823,612.322
2023-07-09T11:40:00,76.112,1.004,580.688,1002.913
2023-07-09T11:45:00,77.753,0.995,604.218,984.529
2023-07-09T11:50:00,72.771,0.996,417.374,938.379
2023-07-09T11:55:00,75.799,0.887,137.244,658.443
2023-07-09T12:00:00,67.44,0.726,3976.064,719.832
2023-07-09T12:05:00,48.999,0.996,1169.561,429.399
2023-07-09T12:10:00,56.829,0.846,1468.666,887.113
2023-07-09T12:15:00,59.693,0.909,569.743,715.199
2023-07-09T12:25:00,75.931,0.934,6804.075,1049.351
2023-07-09T12:30:00,97.946,0.897,1665.391,1494.166
2023-07-09T12:35:00,70.93,0.94,718.997,917.56
2023-07-09T12:40:00,68.985,0.953,913.872,881.006
2023-07-09T12:55:00,60.066,0.973,2412.891,858.306
